0,15.00,101.33,9.807,340.3,1.225,1.789e-5,0.0253
200,13.70,98.95,9.806,339.5,1.202,1.783e-5,0.0252
400,12.40,96.61,9.805,338.8,1.179,1.777e-5,0.0252
600,11.10,94.32,9.805,338.0,1.156,1.771e-5,0.0251
800,9.80,92.08,9.804,337.2,1.134,1.764e-5,0.0250
1000,8.50,89.88,9.804,336.4,1.112,1.758e-5,0.0249
1200,7.20,87.72,9.803,335.7,1.090,1.752e-5,0.0248
1400,5.90,85.60,9.802,334.9,1.069,1.745e-5,0.0247
1600,4.60,83.53,9.802,334.1,1.048,1.739e-5,0.0245
1800,3.30,81.49,9.801,333.3,1.027,1.732e-5,0.0244
2000,2.00,79.50,9.800,332.5,1.007,1.726e-5,0.0243
2200,0.70,77.55,9.800,331.7,0.987,1.720e-5,0.0242
2400,0.59,75.63,9.799,331.0,0.967,1.713e-5,0.0241
2600,1.89,73.76,9.799,330.2,0.947,1.707e-5,0.0240
2800,3.19,71.92,9.798,329.4,0.928,1.700e-5,0.0239
3000,4.49,70.12,9.797,328.6,0.909,1.694e-5,0.0238
3200,5.79,68.36,9.797,327.8,0.891,1.687e-5,0.0237
3400,7.09,66.63,9.796,327.0,0.872,1.681e-5,0.0236
3600,8.39,64.94,9.796,326.2,0.854,1.674e-5,0.0235
3800,9.69,63.28,9.795,325.4,0.837,1.668e-5,0.0234
4000,10.98,61.66,9.794,324.6,0.819,1.661e-5,0.0233
4200,12.3,60.07,9.794,323.8,0.802,1.655e-5,0.0232
4400,13.6,58.52,9.793,323.0,0.785,1.648e-5,0.0231
4600,14.9,57.00,9.793,322.2,0.769,1.642e-5,0.0230
4800,16.2,55.51,9.792,321.4,0.752,1.635e-5,0.0229
5000,17.5,54.05,9.791,320.5,0.736,1.628e-5,0.0228
5200,18.8,52.62,9.791,319.7,0.721,1.622e-5,0.0227
5400,20.1,51.23,9.790,318.9,0.705,1.615e-5,0.0226
5600,21.4,49.86,9.789,318.1,0.690,1.608e-5,0.0224
5800,22.7,48.52,9.785,317.3,0.675,1.602e-5,0.0223
6000,24.0,47.22,9.788,316.5,0.660,1.595e-5,0.0222
6200,25.3,45.94,9.788,315.6,0.646,1.588e-5,0.0221
6400,26.6,44.69,9.787,314.8,0.631,1.582e-5,0.0220
6600,27.9,43.47,9.786,314.0,0.617,1.575e-5,0.0219
6800,29.2,42.27,9.785,313.1,0.604,1.568e-5,0.0218
7000,30.5,41.11,9.785,312.3,0.590,1.561e-5,0.0217
8000,36.9,35.65,9.782,308.1,0.526,1.527e-5,0.0212
9000,43.4,30.80,9.779,303.8,0.467,1.493e-5,0.0206
10000,49.9,26.50,9.776,299.5,0.414,1.458e-5,0.0201
12000,56.5,19.40,9.770,295.1,0.312,1.422e-5,0.0195
14000,56.5,14.17,9.764,295.1,0.228,1.422e-5,0.0195
16000,56.5,10.53,9.758,295.1,0.166,1.422e-5,0.0195
18000,56.5,7.57,9.751,295.1,0.122,1.422e-5,0.0195